point,data processing,initial segmentation,split,merge 
10346,0.0008,0.1887,0.0427,0.0047
10346,0.0019,0.2039,0.0259,0.0044
10346,0.0015,0.1913,0.0255,0.0055
10346,0.0014,0.1968,0.0253,0.0040
10346,0.0015,0.1652,0.0257,0.0036
10346,0.0014,0.2226,0.0336,0.0063
10346,0.0016,0.2141,0.0265,0.0038
10346,0.0013,0.2192,0.0257,0.0066
10346,0.0034,0.2102,0.0327,0.0077
10346,0.0015,0.1970,0.0239,0.0070
10346,0.0014,0.2166,0.0313,0.0061
10346,0.0021,0.2147,0.0243,0.0071
10346,0.0023,0.2561,0.0389,0.0075
10346,0.0015,0.2524,0.0388,0.0102
10346,0.0017,0.2024,0.0577,0.0043
10346,0.0011,0.2462,0.0374,0.0065
10346,0.0015,0.2184,0.0247,0.0055
10346,0.0016,0.2362,0.0290,0.0046
10346,0.0011,0.2436,0.0319,0.0041
10346,0.0014,0.2235,0.0247,0.0057
10346,0.0013,0.2372,0.0264,0.0075
10346,0.0023,0.2281,0.0359,0.0067
10345,0.0022,0.2113,0.0248,0.0045
10345,0.0017,0.2236,0.0271,0.0031
10344,0.0010,0.2048,0.0283,0.0051
10344,0.0027,0.2109,0.0290,0.0038
10344,0.0018,0.2327,0.0262,0.0066
10344,0.0021,0.2225,0.0295,0.0049
10344,0.0022,0.2123,0.0298,0.0064
10344,0.0017,0.2370,0.0253,0.0056
10344,0.0015,0.2076,0.0298,0.0032
10344,0.0010,0.1953,0.0377,0.0078
10344,0.0011,0.2125,0.0329,0.0044
10344,0.0008,0.1876,0.0263,0.0065
10344,0.0015,0.2013,0.0275,0.0084
10344,0.0033,0.2338,0.0251,0.0100
10344,0.0033,0.2118,0.0373,0.0146
10344,0.0053,0.2172,0.0259,0.0104
10344,0.0026,0.2164,0.0342,0.0111
10344,0.0014,0.2167,0.0259,0.0057
10344,0.0017,0.2340,0.0299,0.0044
10344,0.0013,0.2067,0.0271,0.0075
10344,0.0021,0.2250,0.0370,0.0050
10344,0.0014,0.2245,0.0391,0.0106
10344,0.0116,0.2268,0.0296,0.0047
10344,0.0026,0.2395,0.0321,0.0096
10344,0.0022,0.2062,0.0395,0.0066
10344,0.0018,0.2524,0.0308,0.0154
10344,0.0116,0.2311,0.0352,0.0051
10344,0.0023,0.2374,0.0259,0.0112
