point,data processing,initial segmentation,split,merge 
50108,0.0046,0.5289,0.0427,0.0061
50106,0.0029,0.4272,0.0436,0.0062
50106,0.0034,0.3944,0.0411,0.0075
50106,0.0031,0.4395,0.0437,0.0058
50106,0.0030,0.4408,0.0751,0.0051
50105,0.0034,0.4188,0.0413,0.0057
50105,0.0036,0.4328,0.0418,0.0052
50095,0.0030,0.4458,0.0428,0.0054
50091,0.0031,0.4439,0.0445,0.0047
50085,0.0031,0.4242,0.0428,0.0066
50085,0.0030,0.4371,0.0416,0.0056
50079,0.0029,0.4130,0.0542,0.0084
50074,0.0087,0.4343,0.0436,0.0101
50069,0.0067,0.4550,0.0460,0.0078
50070,0.0088,0.4586,0.0443,0.0048
50069,0.0146,0.4389,0.0882,0.0169
50060,0.0119,0.4273,0.0441,0.0102
50061,0.0051,0.4549,0.0434,0.0074
50051,0.0043,0.4441,0.0513,0.0202
50046,0.0086,0.4455,0.0569,0.0144
50044,0.0049,0.4602,0.0439,0.0079
50044,0.0098,0.4421,0.0585,0.0178
50037,0.0188,0.4336,0.0443,0.0093
50037,0.0103,0.4387,0.0480,0.0126
50031,0.0066,0.4539,0.0483,0.0096
50032,0.0044,0.4682,0.0459,0.0136
50020,0.0188,0.4579,0.0754,0.0134
50019,0.0078,0.3815,0.0490,0.0119
50007,0.0071,0.4343,0.0593,0.0116
50001,0.0098,0.4953,0.0533,0.0134
49989,0.0079,0.4547,0.0437,0.0085
49989,0.0069,0.4380,0.0433,0.0075
49979,0.0125,0.4818,0.0537,0.0076
49974,0.0054,0.4758,0.0461,0.0053
49974,0.0073,0.4949,0.0542,0.0064
49966,0.0064,0.4275,0.0436,0.0064
49966,0.0057,0.4718,0.0804,0.0056
49952,0.0099,0.4687,0.0431,0.0113
49950,0.0050,0.4487,0.0472,0.0273
49951,0.0035,0.4171,0.0484,0.0127
49938,0.0068,0.4642,0.0457,0.0141
49939,0.0054,0.4528,0.0464,0.0146
49929,0.0107,0.4325,0.0447,0.0103
49928,0.0045,0.4360,0.0462,0.0127
49918,0.0081,0.4700,0.0566,0.0190
49911,0.0070,0.4149,0.0524,0.0089
49909,0.0054,0.4569,0.0428,0.0105
49909,0.0057,0.4292,0.0505,0.0072
49897,0.0046,0.4590,0.0501,0.0104
49892,0.0048,0.4551,0.0570,0.0127
