point,data processing,initial segmentation,split,merge 
41696,0.0031,0.2474,0.0463,0.0054
41696,0.0034,0.2753,0.0324,0.0053
41696,0.0043,0.2924,0.0342,0.0065
41696,0.0057,0.2874,0.0328,0.0052
41696,0.0041,0.3294,0.0395,0.0065
41696,0.0102,0.3217,0.0335,0.0057
41696,0.0038,0.2862,0.0436,0.0062
41696,0.0039,0.2841,0.0498,0.0086
41685,0.0125,0.3090,0.0522,0.0132
41557,0.0120,0.2200,0.0363,0.0072
41557,0.0033,0.3070,0.0379,0.0052
41557,0.0045,0.2787,0.0419,0.0046
41556,0.0058,0.2796,0.0350,0.0064
41555,0.0061,0.2693,0.0511,0.0078
41555,0.0036,0.2570,0.0483,0.0036
41553,0.0036,0.2473,0.0338,0.0042
41552,0.0050,0.3023,0.0367,0.0034
41550,0.0039,0.3010,0.0520,0.0057
41548,0.0127,0.2176,0.0451,0.0042
41544,0.0264,0.2548,0.0330,0.0044
41544,0.0048,0.2539,0.0371,0.0039
41540,0.0052,0.2883,0.0425,0.0062
41538,0.0070,0.2628,0.0316,0.0041
41538,0.0033,0.2357,0.0466,0.0040
41534,0.0040,0.2926,0.0436,0.0053
41531,0.0064,0.2465,0.0475,0.0087
41527,0.0040,0.2191,0.0415,0.0037
41525,0.0061,0.2711,0.0327,0.0364
41523,0.0149,0.2144,0.0417,0.0062
41520,0.0077,0.2512,0.0498,0.0204
41520,0.0172,0.2340,0.0328,0.0054
41517,0.0170,0.2665,0.0437,0.0068
41512,0.0067,0.2563,0.0357,0.0056
41511,0.0056,0.2754,0.0364,0.0042
41508,0.0041,0.2679,0.0624,0.0034
41507,0.0029,0.2829,0.0331,0.0059
41504,0.0082,0.2804,0.0502,0.0028
41501,0.0088,0.2699,0.0540,0.0034
41499,0.0042,0.2960,0.0422,0.0068
41495,0.0041,0.2831,0.0500,0.0059
41493,0.0074,0.2548,0.0491,0.0083
41491,0.0033,0.2753,0.0426,0.0073
41489,0.0047,0.2930,0.0445,0.0054
41489,0.0034,0.2776,0.0424,0.0067
41489,0.0046,0.2737,0.0420,0.0048
41488,0.0045,0.2779,0.0340,0.0060
41487,0.0050,0.2828,0.0466,0.0032
41487,0.0023,0.2361,0.0347,0.0045
41487,0.0042,0.2777,0.0399,0.0044
41487,0.0043,0.2598,0.0447,0.0049
