point,data processing,initial segmentation,split,merge 
12569,0.0012,0.2335,0.0376,0.0069
12569,0.0013,0.2341,0.0284,0.0076
12569,0.0018,0.2608,0.0356,0.0118
12569,0.0016,0.2389,0.0297,0.0086
12570,0.0019,0.2395,0.0275,0.0144
12569,0.0014,0.2300,0.0342,0.0057
12569,0.0025,0.2654,0.0327,0.0050
12570,0.0011,0.2561,0.0278,0.0069
12569,0.0018,0.2278,0.0283,0.0090
12569,0.0064,0.2569,0.0315,0.0092
12569,0.0023,0.2206,0.0268,0.0073
12569,0.0018,0.2681,0.0440,0.0054
12569,0.0015,0.2357,0.0358,0.0098
12569,0.0016,0.2436,0.0260,0.0074
12569,0.0026,0.2646,0.0291,0.0062
12569,0.0022,0.3035,0.0315,0.0064
12569,0.0018,0.2249,0.0401,0.0109
12568,0.0017,0.2446,0.0290,0.0136
12569,0.0017,0.2437,0.0375,0.0077
12568,0.0023,0.2185,0.0301,0.0077
12568,0.0018,0.2566,0.0412,0.0053
12568,0.0020,0.2567,0.0291,0.0057
12568,0.0016,0.2617,0.0302,0.0077
12568,0.0042,0.2683,0.0359,0.0098
12567,0.0035,0.2400,0.0440,0.0093
12567,0.0015,0.2370,0.0283,0.0049
12567,0.0020,0.2481,0.0449,0.0073
12566,0.0017,0.2452,0.0293,0.0064
12566,0.0018,0.2531,0.0278,0.0072
12565,0.0018,0.2317,0.0330,0.0064
12565,0.0049,0.2444,0.0261,0.0075
12565,0.0023,0.2627,0.0278,0.0076
12565,0.0020,0.2384,0.0424,0.0094
12565,0.0017,0.2378,0.0283,0.0087
12564,0.0016,0.2294,0.0281,0.0066
12565,0.0016,0.2587,0.0311,0.0063
12564,0.0020,0.2441,0.0314,0.0086
12564,0.0013,0.2517,0.0389,0.0098
12564,0.0017,0.2417,0.0681,0.0075
12564,0.0015,0.3159,0.0299,0.0073
12564,0.0018,0.2396,0.0374,0.0088
12563,0.0018,0.2541,0.0411,0.0108
12562,0.0031,0.2328,0.0390,0.0057
12561,0.0015,0.2354,0.0297,0.0069
12561,0.0021,0.2298,0.0290,0.0075
12561,0.0018,0.2452,0.0282,0.0072
12560,0.0020,0.2559,0.0325,0.0060
12560,0.0013,0.2968,0.0314,0.0074
12559,0.0035,0.2433,0.0428,0.0211
12559,0.0036,0.2990,0.0329,0.0087
