point,data processing,initial segmentation,split,merge 
202261,0.0112,0.5360,0.0728,0.0074
202263,0.0131,0.5777,0.0541,0.0076
202318,0.0121,0.5562,0.0630,0.0076
202271,0.0307,0.4720,0.0751,0.0091
202482,0.0213,0.4279,0.0576,0.0067
202471,0.0210,0.5587,0.0567,0.0068
202470,0.0234,0.4775,0.0911,0.0069
202435,0.0239,0.5498,0.0568,0.0064
202412,0.0268,0.5755,0.0666,0.0078
202396,0.0237,0.4714,0.0563,0.0147
202368,0.0171,0.5486,0.0685,0.0101
202364,0.0291,0.4679,0.0874,0.0093
202351,0.0256,0.5157,0.0559,0.0096
202307,0.0261,0.5258,0.0712,0.0067
202309,0.0247,0.5162,0.0681,0.0145
202287,0.0205,0.4546,0.1027,0.0076
202257,0.0163,0.5507,0.0566,0.0076
202259,0.0316,0.4948,0.0579,0.0110
202240,0.0225,0.4293,0.0576,0.0131
202208,0.0222,0.4454,0.0661,0.0070
202196,0.0321,0.5131,0.0572,0.0044
202177,0.0175,0.4968,0.0748,0.0064
202162,0.0222,0.5545,0.0655,0.0147
202147,0.0202,0.5311,0.0672,0.0126
202148,0.0168,0.5236,0.0653,0.0107
202105,0.0231,0.5498,0.0573,0.0099
202079,0.0221,0.5521,0.0662,0.0076
202056,0.0147,0.6114,0.0987,0.0076
202040,0.0129,0.6343,0.0567,0.0045
202017,0.0168,0.6651,0.0793,0.0093
201980,0.0208,0.5379,0.1287,0.0186
201961,0.0121,0.5629,0.0616,0.0051
201934,0.0280,0.5490,0.0559,0.0085
201911,0.0135,0.5080,0.0580,0.0158
201906,0.0132,0.5117,0.0566,0.0074
201860,0.0179,0.5913,0.0682,0.0260
201842,0.0121,0.5045,0.0853,0.0069
201816,0.0298,0.5085,0.0584,0.0045
201787,0.0231,0.4989,0.0545,0.0402
201765,0.0104,0.5246,0.0930,0.0164
201736,0.0157,0.5001,0.0559,0.0100
201735,0.0174,0.4423,0.0630,0.0090
201698,0.0161,0.5051,0.0537,0.0051
201667,0.0156,0.4947,0.0615,0.0088
201650,0.0222,0.5517,0.0583,0.0060
201646,0.0130,0.5466,0.0697,0.0032
201600,0.0197,0.5431,0.0564,0.0141
201568,0.0102,0.4951,0.0641,0.0063
201542,0.0366,0.4511,0.0701,0.0044
201520,0.0316,0.4303,0.0668,0.0050
