point,data processing,initial segmentation,split,merge 
42301,0.0025,0.3001,0.0435,0.0182
42301,0.0044,0.3244,0.0694,0.0152
42301,0.0035,0.3073,0.0448,0.0158
42301,0.0034,0.3398,0.0406,0.0066
42301,0.0028,0.3355,0.0335,0.0124
42301,0.0063,0.2784,0.0302,0.0066
42301,0.0033,0.2687,0.0486,0.0188
42298,0.0071,0.3096,0.0317,0.0107
42296,0.0045,0.3106,0.0319,0.0115
42310,0.0042,0.2813,0.0443,0.0138
42311,0.0058,0.3411,0.0343,0.0077
42377,0.0039,0.3364,0.0355,0.0112
42424,0.0076,0.3154,0.0442,0.0135
42422,0.0039,0.2895,0.0578,0.0149
42420,0.0043,0.3120,0.0352,0.0117
42418,0.0058,0.3243,0.0317,0.0056
42413,0.0025,0.2930,0.0321,0.0089
42410,0.0024,0.2417,0.0437,0.0264
42409,0.0116,0.3100,0.0372,0.0161
42407,0.0079,0.3111,0.0348,0.0088
42405,0.0025,0.3027,0.0655,0.0215
42405,0.0048,0.3374,0.0325,0.0062
42404,0.0026,0.2856,0.0324,0.0070
42402,0.0031,0.2932,0.0335,0.0062
42397,0.0028,0.2793,0.0345,0.0123
42397,0.0047,0.3175,0.0338,0.0145
42393,0.0046,0.3623,0.0520,0.0229
42393,0.0099,0.3680,0.0517,0.0255
42388,0.0045,0.3674,0.0400,0.0144
42400,0.0172,0.3343,0.0338,0.0249
42411,0.0131,0.2991,0.0377,0.0137
42405,0.0027,0.3123,0.0327,0.0076
42402,0.0027,0.3060,0.0335,0.0086
42401,0.0025,0.3117,0.0375,0.0105
42395,0.0066,0.3319,0.0433,0.0125
42393,0.0049,0.3632,0.0389,0.0146
42393,0.0051,0.2903,0.0443,0.0262
42388,0.0044,0.3150,0.0652,0.0361
42386,0.0102,0.2880,0.0357,0.0178
42382,0.0085,0.3323,0.0346,0.0150
42378,0.0087,0.3153,0.0394,0.0251
42376,0.0094,0.3274,0.0432,0.0157
42372,0.0051,0.3132,0.0309,0.0056
42369,0.0025,0.3111,0.0335,0.0071
42366,0.0026,0.3044,0.0317,0.0076
42366,0.0034,0.2677,0.0308,0.0094
42360,0.0035,0.2956,0.0322,0.0055
42357,0.0026,0.2850,0.0322,0.0054
42354,0.0030,0.2353,0.0430,0.0061
42352,0.0055,0.2785,0.0311,0.0059
