point,data processing,initial segmentation,split,merge 
10918,0.0009,0.2213,0.0236,0.0028
10918,0.0010,0.2419,0.0235,0.0041
10918,0.0010,0.2067,0.0237,0.0029
10918,0.0012,0.2104,0.0250,0.0037
10918,0.0009,0.2445,0.0238,0.0032
10918,0.0012,0.2108,0.0238,0.0027
10918,0.0009,0.2287,0.0229,0.0025
10918,0.0011,0.2295,0.0231,0.0027
10918,0.0011,0.2084,0.0231,0.0032
10918,0.0009,0.2145,0.0228,0.0028
10918,0.0010,0.2270,0.0253,0.0032
10918,0.0009,0.2133,0.0240,0.0029
10918,0.0009,0.2159,0.0327,0.0041
10918,0.0011,0.2189,0.0222,0.0032
10918,0.0011,0.2157,0.0237,0.0041
10918,0.0011,0.2324,0.0230,0.0039
10918,0.0009,0.2281,0.0241,0.0040
10918,0.0010,0.2216,0.0295,0.0051
10918,0.0009,0.2332,0.0243,0.0036
10919,0.0010,0.1933,0.0239,0.0036
10919,0.0011,0.2316,0.0260,0.0037
10920,0.0012,0.2284,0.0229,0.0023
10920,0.0010,0.2672,0.0233,0.0023
10918,0.0009,0.2210,0.0236,0.0035
10918,0.0009,0.2085,0.0239,0.0031
10918,0.0009,0.2191,0.0237,0.0342
10918,0.0011,0.2104,0.0231,0.0037
10918,0.0011,0.2185,0.0235,0.0037
10918,0.0011,0.2169,0.0252,0.0033
10918,0.0010,0.2234,0.0244,0.0037
10918,0.0010,0.2113,0.0239,0.0034
10917,0.0013,0.2362,0.0239,0.0026
10917,0.0009,0.2057,0.0240,0.0020
10917,0.0013,0.2213,0.0234,0.0024
10917,0.0010,0.2153,0.0247,0.0024
10917,0.0012,0.1707,0.0228,0.0026
10917,0.0011,0.2056,0.0214,0.0022
10917,0.0016,0.2318,0.0268,0.0031
10917,0.0013,0.2423,0.0229,0.0022
10917,0.0010,0.2213,0.0241,0.0026
10917,0.0012,0.2196,0.0256,0.0035
10917,0.0013,0.2076,0.0247,0.0029
10917,0.0010,0.2228,0.0226,0.0026
10917,0.0009,0.2132,0.0228,0.0022
10917,0.0012,0.2164,0.0220,0.0028
10917,0.0010,0.2056,0.0251,0.0038
10917,0.0014,0.2147,0.0238,0.0036
10917,0.0010,0.2014,0.0321,0.0038
10917,0.0009,0.2528,0.0321,0.0027
10917,0.0009,0.2071,0.0225,0.0025
