point,data processing,initial segmentation,split,merge 
145404,0.0108,0.3799,0.0530,0.0050
145404,0.0121,0.4183,0.0509,0.0030
145404,0.0132,0.3406,0.0458,0.0033
145404,0.0214,0.3135,0.0365,0.0055
145404,0.0188,0.3103,0.0569,0.0039
145404,0.0254,0.3627,0.0610,0.0037
145404,0.0116,0.3226,0.0450,0.0032
145404,0.0128,0.3811,0.0513,0.0045
145404,0.0119,0.3703,0.0560,0.0047
145404,0.0183,0.2802,0.0380,0.0036
145404,0.0218,0.3142,0.0544,0.0092
145404,0.0151,0.3513,0.0629,0.0035
145404,0.0157,0.3466,0.0371,0.0033
145404,0.0136,0.4074,0.0368,0.0029
145404,0.0090,0.4011,0.0369,0.0029
145335,0.0115,0.3977,0.0699,0.0064
145332,0.0211,0.3513,0.0422,0.0034
145142,0.0134,0.3630,0.0386,0.0036
145126,0.0121,0.4191,0.0463,0.0027
145126,0.0168,0.3908,0.0439,0.0043
145126,0.0095,0.3910,0.0601,0.0055
145126,0.0107,0.4257,0.0372,0.0026
145126,0.0084,0.4083,0.0448,0.0031
145126,0.0215,0.4069,0.0406,0.0036
145126,0.0245,0.4085,0.0810,0.0045
145126,0.0275,0.4089,0.0397,0.0032
145126,0.0162,0.4379,0.0387,0.0039
145126,0.0205,0.4610,0.0476,0.0045
145126,0.0144,0.4665,0.0444,0.0037
145126,0.0102,0.4319,0.0446,0.0030
145126,0.0327,0.5026,0.0415,0.0035
145126,0.0232,0.3784,0.0501,0.0032
145126,0.0240,0.3716,0.0630,0.0079
145126,0.0204,0.4049,0.0719,0.0053
145126,0.0227,0.3273,0.0615,0.0030
145126,0.0235,0.4707,0.0472,0.0038
145126,0.0224,0.4619,0.0708,0.0034
145126,0.0108,0.3460,0.0410,0.0062
145126,0.0140,0.3883,0.0627,0.0054
145126,0.0138,0.4802,0.0492,0.0055
145126,0.0178,0.4008,0.0568,0.0040
145126,0.0169,0.4455,0.0503,0.0021
145126,0.0100,0.4436,0.0506,0.0096
145126,0.0147,0.3364,0.0430,0.0034
145126,0.0168,0.3979,0.0466,0.0038
145126,0.0172,0.3157,0.0442,0.0039
145126,0.0126,0.3731,0.0430,0.0025
145126,0.0189,0.4533,0.0414,0.0038
145126,0.0194,0.3788,0.0397,0.0045
145126,0.0133,0.4925,0.0410,0.0032
