point,data processing,initial segmentation,split,merge 
61906,0.0034,0.3200,0.0489,0.0058
61906,0.0050,0.3160,0.0343,0.0073
61909,0.0063,0.3475,0.0350,0.0044
61906,0.0064,0.2972,0.0425,0.0085
61906,0.0080,0.2902,0.0336,0.0056
61906,0.0066,0.3006,0.0340,0.0049
61906,0.0087,0.3731,0.0329,0.0058
61904,0.0115,0.3231,0.0345,0.0053
61898,0.0045,0.3053,0.0338,0.0054
61898,0.0083,0.3243,0.0332,0.0050
61881,0.0095,0.3091,0.0477,0.0053
61880,0.0108,0.3027,0.0364,0.0058
61858,0.0090,0.3235,0.0439,0.0065
61858,0.0256,0.2718,0.0342,0.0065
61844,0.0094,0.3331,0.0424,0.0048
61834,0.0039,0.3118,0.0345,0.0069
61828,0.0060,0.3134,0.0396,0.0043
61819,0.0044,0.3195,0.0344,0.0042
61809,0.0066,0.3141,0.0339,0.0070
61809,0.0061,0.3275,0.0360,0.0082
61789,0.0096,0.3397,0.0580,0.0107
61786,0.0324,0.2960,0.0348,0.0086
61782,0.0060,0.3045,0.0390,0.0077
61774,0.0061,0.3136,0.0368,0.0084
61773,0.0106,0.2585,0.0430,0.0099
61771,0.0051,0.3294,0.0392,0.0063
61768,0.0046,0.3243,0.0481,0.0057
61768,0.0090,0.3172,0.0371,0.0068
61764,0.0052,0.3426,0.0455,0.0070
61764,0.0074,0.2986,0.0465,0.0043
61763,0.0043,0.3453,0.0437,0.0112
61763,0.0116,0.3264,0.0683,0.0070
61764,0.0089,0.3365,0.0366,0.0064
61761,0.0120,0.3031,0.0489,0.0061
61762,0.0100,0.3507,0.0354,0.0039
61763,0.0054,0.3333,0.0481,0.0040
61763,0.0111,0.3003,0.0468,0.0133
61765,0.0117,0.3144,0.0431,0.0085
61765,0.0071,0.3195,0.0439,0.0132
61759,0.0101,0.2889,0.0356,0.0071
61754,0.0065,0.3297,0.0345,0.0100
61754,0.0064,0.3088,0.0344,0.0047
61754,0.0051,0.3372,0.0442,0.0061
61754,0.0392,0.3063,0.0509,0.0116
61748,0.0095,0.3382,0.0334,0.0086
61747,0.0099,0.3262,0.0466,0.0068
61745,0.0099,0.3220,0.0509,0.0073
61745,0.0119,0.3164,0.0353,0.0085
61743,0.0063,0.2776,0.0341,0.0055
61740,0.0057,0.3460,0.0487,0.0060

