point,data processing,initial segmentation,split,merge 
40769,0.0030,0.3016,0.0563,0.0053
40773,0.0089,0.2953,0.0331,0.0030
40769,0.0029,0.3044,0.0326,0.0039
40769,0.0063,0.3348,0.0356,0.0070
40765,0.0029,0.2973,0.0424,0.0041
40770,0.0043,0.2659,0.0334,0.0033
40759,0.0053,0.3151,0.0328,0.0051
40759,0.0088,0.2887,0.0480,0.0037
40759,0.0054,0.3190,0.0421,0.0043
40753,0.0065,0.3315,0.0534,0.0048
40753,0.0084,0.3126,0.0308,0.0027
40746,0.0024,0.3173,0.0555,0.0073
40746,0.0049,0.3211,0.0339,0.0059
40744,0.0033,0.3057,0.0312,0.0031
40736,0.0044,0.2936,0.0352,0.0064
40736,0.0065,0.2891,0.0412,0.0074
40726,0.0123,0.3068,0.0400,0.0022
40726,0.0032,0.3036,0.0322,0.0042
40722,0.0157,0.3331,0.0316,0.0042
40721,0.0046,0.3114,0.0315,0.0069
40720,0.0075,0.3273,0.0416,0.0037
40716,0.0038,0.3221,0.0357,0.0029
40716,0.0040,0.3047,0.0394,0.0047
40712,0.0080,0.2665,0.0405,0.0025
40712,0.0037,0.2698,0.0317,0.0029
40709,0.0039,0.3051,0.0339,0.0025
40707,0.0038,0.3057,0.0413,0.0030
40707,0.0038,0.3135,0.0319,0.0031
40702,0.0043,0.3047,0.0305,0.0047
40702,0.0035,0.2987,0.0294,0.0025
40690,0.0077,0.2931,0.0317,0.0038
40692,0.0035,0.3102,0.0308,0.0028
40682,0.0036,0.2893,0.0407,0.0044
40679,0.0023,0.3029,0.0309,0.0031
40677,0.0035,0.2727,0.0317,0.0038
40676,0.0045,0.3010,0.0314,0.0102
40674,0.0166,0.2835,0.0456,0.0036
40672,0.0077,0.2515,0.0329,0.0035
40672,0.0068,0.3162,0.0455,0.0068
40669,0.0057,0.3071,0.0355,0.0123
40669,0.0217,0.2424,0.0366,0.0042
40669,0.0041,0.3427,0.0317,0.0032
40669,0.0036,0.3300,0.0472,0.0036
40669,0.0028,0.3257,0.0332,0.0033
40669,0.0041,0.3281,0.0323,0.0039
40669,0.0040,0.2868,0.0349,0.0034
40669,0.0062,0.3011,0.0308,0.0057
40669,0.0043,0.3327,0.0315,0.0039
40669,0.0039,0.3118,0.0319,0.0041
40669,0.0040,0.2519,0.0375,0.0036
