point,data processing,initial segmentation,split,merge 
145126,0.0089,0.3346,0.0447,0.0027
145126,0.0134,0.3523,0.0360,0.0094
145126,0.0184,0.3565,0.0374,0.0032
145126,0.0268,0.3403,0.0413,0.0042
145126,0.0238,0.3159,0.0357,0.0054
145126,0.0134,0.3352,0.0981,0.0049
145126,0.0174,0.3275,0.0376,0.0027
145126,0.0090,0.3550,0.0353,0.0023
145126,0.0093,0.3529,0.0367,0.0026
145126,0.0219,0.3307,0.0370,0.0026
145126,0.0193,0.3485,0.0504,0.0047
145126,0.0245,0.3420,0.0392,0.0030
145126,0.0154,0.3506,0.0590,0.0055
145126,0.0244,0.3379,0.0525,0.0029
145126,0.0146,0.3279,0.0361,0.0039
145126,0.0195,0.3580,0.0376,0.0048
145126,0.0118,0.3778,0.0410,0.0028
145126,0.0181,0.3514,0.0374,0.0023
145126,0.0100,0.3624,0.0518,0.0042
145126,0.0210,0.3401,0.0354,0.0029
145126,0.0176,0.3814,0.0497,0.0036
145126,0.0194,0.3013,0.0362,0.0031
145126,0.0141,0.3818,0.0363,0.0026
145126,0.0125,0.3514,0.0371,0.0029
145126,0.0134,0.3422,0.0480,0.0029
145126,0.0225,0.3339,0.0360,0.0028
145126,0.0216,0.3465,0.0358,0.0025
145126,0.0123,0.3399,0.0362,0.0024
145126,0.0150,0.3874,0.0478,0.0039
145126,0.0215,0.3744,0.0420,0.0031
145126,0.0287,0.3569,0.0421,0.0029
145126,0.0202,0.3589,0.0380,0.0027
145126,0.0158,0.3695,0.0365,0.0038
145126,0.0118,0.4041,0.0369,0.0026
145126,0.0165,0.3658,0.0454,0.0023
145126,0.0128,0.4092,0.0586,0.0028
145126,0.0157,0.3308,0.0471,0.0026
145126,0.0202,0.3799,0.0353,0.0024
145126,0.0170,0.3577,0.0426,0.0026
145126,0.0125,0.3462,0.0484,0.0020
145126,0.0176,0.3546,0.0368,0.0026
145126,0.0148,0.2998,0.0369,0.0026
145126,0.0157,0.3425,0.0708,0.0022
145126,0.0182,0.3276,0.0365,0.0030
145126,0.0080,0.3309,0.0468,0.0029
145126,0.0133,0.2980,0.0365,0.0030
145126,0.0139,0.3466,0.0362,0.0026
145126,0.0081,0.3543,0.0533,0.0052
145126,0.0238,0.3164,0.0353,0.0026
145126,0.0271,0.3077,0.0498,0.0036
