point,data processing,initial segmentation,split,merge 
202119,0.0203,0.3665,0.0468,0.0075
202118,0.0321,0.3198,0.0462,0.0067
202116,0.0193,0.2817,0.0621,0.0061
202108,0.0203,0.2900,0.0444,0.0094
202101,0.0281,0.3397,0.0525,0.0114
202101,0.0216,0.2928,0.0491,0.0075
202092,0.0109,0.3099,0.0483,0.0061
202091,0.0341,0.2824,0.0605,0.0089
202075,0.0230,0.2575,0.0522,0.0077
202072,0.0287,0.3215,0.0465,0.0069
202068,0.0110,0.2590,0.0806,0.0068
202058,0.0274,0.3048,0.0550,0.0053
202058,0.0330,0.3173,0.0908,0.0099
202054,0.0138,0.3615,0.0585,0.0063
202047,0.0214,0.2987,0.0454,0.0085
202039,0.0238,0.3469,0.0428,0.0097
202034,0.0212,0.2986,0.0374,0.0044
202026,0.0154,0.3423,0.0528,0.0124
202017,0.0117,0.2685,0.0823,0.0128
202015,0.0148,0.2837,0.0719,0.0079
201998,0.0116,0.3100,0.0520,0.0054
201997,0.0111,0.3500,0.0388,0.0056
201984,0.0267,0.3130,0.0668,0.0092
201985,0.0208,0.3065,0.0503,0.0037
201978,0.0167,0.2805,0.0553,0.0161
201970,0.0138,0.2688,0.0553,0.0157
201963,0.0170,0.3038,0.0473,0.0124
201953,0.0163,0.3286,0.0370,0.0047
201948,0.0357,0.3244,0.0571,0.0067
201939,0.0234,0.2749,0.0632,0.0085
201932,0.0204,0.2948,0.0773,0.0100
201930,0.0117,0.2922,0.0544,0.0053
201918,0.0121,0.2650,0.0667,0.0092
201913,0.0164,0.2520,0.0647,0.0046
201907,0.0250,0.3310,0.0699,0.0045
201906,0.0235,0.3032,0.0568,0.0130
201892,0.0125,0.3203,0.0653,0.0080
201890,0.0304,0.2665,0.0519,0.0046
201890,0.0162,0.3086,0.0469,0.0041
201884,0.0168,0.2790,0.0357,0.0045
201872,0.0125,0.2879,0.0667,0.0135
201867,0.0120,0.2596,0.0409,0.0096
201864,0.0158,0.2487,0.0660,0.0026
201859,0.0241,0.3272,0.0393,0.0058
201859,0.0224,0.2637,0.0454,0.0064
201845,0.0207,0.3071,0.0455,0.0061
201835,0.0271,0.2702,0.0343,0.0530
201830,0.0107,0.2782,0.0843,0.0079
201824,0.0236,0.3158,0.0405,0.0055
201816,0.0140,0.2639,0.0475,0.0046
