point,data processing,initial segmentation,split,merge 
12650,0.0011,0.2808,0.0355,0.0036
12650,0.0013,0.3333,0.0312,0.0032
12650,0.0011,0.2766,0.0336,0.0033
12650,0.0012,0.2665,0.0400,0.0037
12650,0.0017,0.2683,0.0321,0.0039
12650,0.0013,0.2805,0.0332,0.0043
12650,0.0015,0.2727,0.0360,0.0048
12650,0.0012,0.2590,0.0304,0.0032
12650,0.0012,0.2641,0.0316,0.0048
12650,0.0014,0.2652,0.0317,0.0038
12650,0.0012,0.2544,0.0300,0.0049
12650,0.0011,0.2667,0.0293,0.0036
12650,0.0013,0.2716,0.0330,0.0029
12649,0.0015,0.3007,0.0323,0.0031
12649,0.0012,0.2562,0.0327,0.0044
12650,0.0015,0.2944,0.0309,0.0028
12649,0.0012,0.2590,0.0356,0.0044
12649,0.0011,0.2869,0.0316,0.0029
12649,0.0012,0.2737,0.0330,0.0036
12650,0.0012,0.2591,0.0310,0.0024
12650,0.0011,0.2755,0.0310,0.0026
12650,0.0014,0.2607,0.0329,0.0023
12649,0.0012,0.2695,0.0321,0.0033
12649,0.0017,0.2750,0.0322,0.0026
12646,0.0014,0.2751,0.0342,0.0032
12646,0.0012,0.2889,0.0305,0.0026
12646,0.0012,0.3417,0.0336,0.0048
12643,0.0017,0.2857,0.0359,0.0043
12642,0.0014,0.2346,0.0306,0.0050
12642,0.0011,0.2808,0.0307,0.0029
12642,0.0013,0.2346,0.0333,0.0024
12642,0.0012,0.3347,0.0319,0.0032
12642,0.0016,0.3770,0.0337,0.0048
12641,0.0016,0.3190,0.0306,0.0024
12641,0.0015,0.2647,0.0310,0.0026
12641,0.0012,0.2804,0.0335,0.0032
12642,0.0017,0.2640,0.0305,0.0027
12644,0.0013,0.2819,0.0323,0.0042
12644,0.0013,0.2295,0.0366,0.0032
12643,0.0015,0.2893,0.0314,0.0030
12643,0.0012,0.2737,0.0310,0.0037
12643,0.0012,0.2688,0.0318,0.0031
12642,0.0017,0.2882,0.0333,0.0040
12641,0.0015,0.2733,0.0324,0.0046
12637,0.0013,0.3563,0.0305,0.0030
12637,0.0012,0.2885,0.0313,0.0034
12637,0.0015,0.3168,0.0356,0.0034
12639,0.0012,0.2796,0.0334,0.0043
12639,0.0013,0.2633,0.0301,0.0035
12637,0.0014,0.2792,0.0313,0.0023
