point,data processing,initial segmentation,split,merge 
15192,0.0014,0.2729,0.0290,0.0026
15192,0.0012,0.2577,0.0267,0.0025
15192,0.0012,0.2435,0.0301,0.0041
15192,0.0011,0.2214,0.0308,0.0029
15191,0.0011,0.2064,0.0316,0.0027
15191,0.0013,0.2217,0.0275,0.0023
15191,0.0012,0.2541,0.0316,0.0028
15190,0.0011,0.1954,0.0263,0.0023
15191,0.0013,0.2257,0.0266,0.0033
15191,0.0012,0.2598,0.0283,0.0031
15190,0.0013,0.2440,0.0340,0.0029
15191,0.0015,0.2110,0.0295,0.0029
15191,0.0017,0.2176,0.0283,0.0033
15190,0.0012,0.2289,0.0301,0.0029
15190,0.0013,0.2510,0.0283,0.0026
15191,0.0013,0.2377,0.0301,0.0026
15189,0.0012,0.1910,0.0284,0.0024
15189,0.0015,0.2376,0.0286,0.0030
15189,0.0012,0.2579,0.0279,0.0027
15187,0.0011,0.2231,0.0305,0.0028
15187,0.0017,0.2216,0.0308,0.0026
15184,0.0012,0.2282,0.0296,0.0030
15184,0.0016,0.2374,0.0287,0.0027
15184,0.0011,0.2737,0.0287,0.0027
15183,0.0011,0.2336,0.0303,0.0027
15183,0.0011,0.2273,0.0289,0.0025
15178,0.0011,0.2379,0.0360,0.0036
15179,0.0011,0.2325,0.0292,0.0041
15179,0.0011,0.2587,0.0297,0.0030
15178,0.0012,0.2337,0.0288,0.0036
15178,0.0012,0.2189,0.0274,0.0038
15177,0.0011,0.2338,0.0300,0.0033
15177,0.0017,0.2654,0.0299,0.0034
15177,0.0012,0.2936,0.0299,0.0039
15243,0.0016,0.3003,0.0327,0.0039
15243,0.0013,0.2456,0.0340,0.0024
15242,0.0013,0.2497,0.0327,0.0035
15242,0.0016,0.2717,0.0308,0.0046
15240,0.0013,0.2457,0.0291,0.0032
15240,0.0012,0.2415,0.0273,0.0029
15240,0.0011,0.2371,0.0294,0.0028
15238,0.0011,0.2308,0.0293,0.0046
15237,0.0011,0.1976,0.0301,0.0030
15235,0.0012,0.2259,0.0289,0.0030
15235,0.0012,0.1963,0.0281,0.0033
15233,0.0011,0.2201,0.0641,0.0066
15233,0.0013,0.2464,0.0295,0.0030
15233,0.0012,0.2137,0.0284,0.0028
15229,0.0015,0.2704,0.0330,0.0030
15229,0.0012,0.2423,0.0300,0.0031
