point,data processing,initial segmentation,split,merge 
194945,0.0109,0.3276,0.0608,0.0049
194945,0.0135,0.3552,0.0702,0.0066
194941,0.0222,0.3141,0.0518,0.0037
194936,0.0177,0.3913,0.0528,0.0105
194932,0.0197,0.3799,0.0678,0.0084
194931,0.0244,0.3786,0.0777,0.0042
194649,0.0182,0.3963,0.0595,0.0058
194652,0.0154,0.3309,0.0517,0.0050
194652,0.0213,0.3964,0.0670,0.0053
194644,0.0219,0.4104,0.0525,0.0075
194640,0.0177,0.3134,0.0543,0.0048
194633,0.0200,0.3393,0.0608,0.0145
194627,0.0128,0.3564,0.0582,0.0058
194622,0.0177,0.3708,0.0698,0.0047
194622,0.0212,0.3628,0.1283,0.0075
194617,0.0138,0.3699,0.0681,0.0051
194602,0.0166,0.4159,0.0668,0.0093
194596,0.0245,0.4131,0.0643,0.0128
194591,0.0104,0.3541,0.0612,0.0099
194591,0.0311,0.3247,0.0622,0.0049
194577,0.0267,0.3160,0.0612,0.0054
194848,0.0093,0.3078,0.0764,0.0044
194843,0.0167,0.3345,0.0666,0.0047
194838,0.0122,0.4214,0.0562,0.0046
194833,0.0115,0.3506,0.0505,0.0034
194827,0.0201,0.3816,0.1014,0.0079
194823,0.0215,0.3930,0.0500,0.0057
194816,0.0108,0.4071,0.0529,0.0045
194815,0.0123,0.4166,0.0605,0.0052
194807,0.0148,0.4347,0.0629,0.0045
194806,0.0154,0.3864,0.1153,0.0073
194811,0.0283,0.3536,0.1139,0.0075
194807,0.0239,0.3269,0.0679,0.0136
194800,0.0107,0.3626,0.0589,0.0054
194798,0.0199,0.3639,0.0511,0.0063
194793,0.0285,0.3432,0.0501,0.0076
194779,0.0155,0.3108,0.0484,0.0038
194775,0.0161,0.3879,0.0603,0.0052
194770,0.0180,0.3856,0.0721,0.0050
194766,0.0181,0.3787,0.0620,0.0048
194765,0.0113,0.4050,0.0496,0.0048
194832,0.0158,0.3602,0.0476,0.0044
194870,0.0287,0.4211,0.0712,0.0066
194860,0.0194,0.3688,0.0692,0.0087
194853,0.0286,0.4338,0.0514,0.0051
194848,0.0159,0.3920,0.0923,0.0056
194840,0.0265,0.4119,0.0503,0.0050
194835,0.0143,0.3688,0.0515,0.0064
194835,0.0273,0.3534,0.0563,0.0079
194827,0.0161,0.3832,0.0515,0.0084
