point,data processing,initial segmentation,split,merge 
145404,0.0079,0.3689,0.0461,0.0028
145404,0.0123,0.3962,0.0370,0.0027
145404,0.0140,0.3582,0.0488,0.0031
145404,0.0170,0.3433,0.0709,0.0027
145404,0.0144,0.3877,0.0466,0.0022
145404,0.0125,0.3230,0.0372,0.0097
145404,0.0194,0.3215,0.0527,0.0037
145404,0.0072,0.2859,0.0382,0.0025
145404,0.0164,0.3405,0.0366,0.0021
145404,0.0103,0.3479,0.0474,0.0026
145404,0.0106,0.3154,0.0372,0.0030
145404,0.0194,0.3649,0.0453,0.0036
145404,0.0179,0.3641,0.0431,0.0025
145404,0.0150,0.3462,0.0378,0.0026
145404,0.0112,0.3120,0.0405,0.0028
145404,0.0121,0.3386,0.0477,0.0049
145404,0.0101,0.2799,0.0368,0.0024
145404,0.0136,0.3767,0.0462,0.0021
145404,0.0077,0.3516,0.0401,0.0033
145404,0.0160,0.3254,0.0950,0.0027
145404,0.0177,0.3650,0.0365,0.0029
145404,0.0177,0.4144,0.0436,0.0024
145404,0.0123,0.3462,0.0354,0.0027
145404,0.0180,0.3728,0.0496,0.0031
145404,0.0303,0.3173,0.0468,0.0023
145404,0.0106,0.3752,0.0519,0.0025
145404,0.0279,0.2920,0.0365,0.0024
145404,0.0111,0.3670,0.0369,0.0022
145365,0.0131,0.3024,0.0526,0.0020
145126,0.0117,0.3299,0.0829,0.0046
145126,0.0242,0.3597,0.0467,0.0036
145126,0.0245,0.3250,0.0391,0.0030
145126,0.0170,0.4073,0.0467,0.0036
145126,0.0248,0.3212,0.0471,0.0023
145126,0.0127,0.3514,0.0389,0.0029
145126,0.0117,0.3257,0.0496,0.0025
145126,0.0123,0.3656,0.0395,0.0028
145126,0.0217,0.3384,0.0460,0.0034
145126,0.0136,0.3524,0.0695,0.0071
145126,0.0098,0.3509,0.0371,0.0028
145126,0.0123,0.3522,0.0377,0.0022
145126,0.0099,0.3288,0.0485,0.0032
145126,0.0108,0.3409,0.0367,0.0025
145126,0.0147,0.3490,0.0398,0.0026
145126,0.0283,0.2790,0.0398,0.0026
145126,0.0148,0.3696,0.0453,0.0028
145126,0.0117,0.3552,0.0495,0.0028
145126,0.0141,0.2910,0.0368,0.0026
145126,0.0124,0.3460,0.0469,0.0035
145126,0.0155,0.3388,0.0405,0.0027
