point,data processing,initial segmentation,split,merge 
48624,0.0030,0.2945,0.0552,0.0065
48624,0.0044,0.2793,0.0377,0.0040
48624,0.0037,0.3368,0.0360,0.0049
48624,0.0048,0.3016,0.0381,0.0051
48623,0.0068,0.3321,0.0478,0.0116
48622,0.0047,0.2858,0.0347,0.0051
48619,0.0048,0.2984,0.0441,0.0048
48616,0.0069,0.2806,0.0427,0.0041
48614,0.0156,0.3392,0.0384,0.0037
48612,0.0036,0.3361,0.0514,0.0059
48609,0.0046,0.3509,0.0627,0.0050
48607,0.0096,0.3301,0.0436,0.0093
48606,0.0048,0.2868,0.0358,0.0080
48605,0.0048,0.3065,0.0338,0.0032
48605,0.0028,0.3103,0.0370,0.0046
48725,0.0052,0.3368,0.0369,0.0051
48743,0.0063,0.3377,0.0479,0.0054
48743,0.0046,0.3328,0.0444,0.0063
48743,0.0045,0.3451,0.0387,0.0058
48743,0.0061,0.2911,0.0372,0.0057
48743,0.0049,0.3819,0.0366,0.0061
48743,0.0047,0.3707,0.0538,0.0106
48743,0.0178,0.3177,0.0468,0.0078
48743,0.0178,0.3150,0.0470,0.0058
48744,0.0105,0.3129,0.0523,0.0063
48743,0.0044,0.3244,0.0418,0.0043
48743,0.0046,0.2895,0.0401,0.0038
48743,0.0061,0.3296,0.0522,0.0086
48743,0.0061,0.3430,0.0396,0.0055
48741,0.0064,0.2927,0.0498,0.0079
48741,0.0051,0.3546,0.0463,0.0041
48740,0.0047,0.3222,0.0370,0.0064
48740,0.0057,0.3535,0.0445,0.0029
48739,0.0030,0.3349,0.0445,0.0049
48738,0.0092,0.3601,0.0376,0.0072
48738,0.0049,0.3519,0.0374,0.0055
48738,0.0082,0.3469,0.0532,0.0079
48738,0.0105,0.3284,0.0466,0.0054
48738,0.0040,0.3545,0.0368,0.0049
48738,0.0088,0.3604,0.0378,0.0050
48738,0.0049,0.3752,0.0460,0.0079
48738,0.0134,0.3177,0.0386,0.0047
48737,0.0040,0.3211,0.0666,0.0036
48737,0.0051,0.3345,0.0376,0.0032
48736,0.0035,0.3765,0.0359,0.0121
48736,0.0108,0.3592,0.0459,0.0073
48736,0.0101,0.3503,0.0662,0.0064
48735,0.0066,0.2952,0.0478,0.0072
48736,0.0047,0.3165,0.0382,0.0047
48735,0.0036,0.3480,0.0373,0.0031
