timestamp,point,data processing,initial segmentation,split,merge
0.0000,86239,0.0104,0.0065,0.0180,0.0035
0.0758,86867,0.0223,0.0124,0.0213,0.0035
0.1764,86865,0.0270,0.0129,0.0152,0.0048
0.2716,86121,0.0187,0.0110,0.0191,0.0040
0.3636,86712,0.0210,0.0214,0.0144,0.0032
0.4571,87505,0.0203,0.0116,0.0186,0.0026
0.5486,87116,0.0206,0.0211,0.0187,0.0035
0.6459,86416,0.0163,0.0109,0.0182,0.0039
0.7330,86486,0.0204,0.0198,0.0187,0.0036
0.8294,87323,0.0198,0.0198,0.0199,0.0031
0.9322,85770,0.0295,0.0116,0.0193,0.0038
1.0299,86271,0.0201,0.0117,0.0204,0.0042
1.1246,86906,0.0203,0.0206,0.0181,0.0037
1.2209,86580,0.0196,0.0114,0.0184,0.0030
1.3100,85916,0.0195,0.0199,0.0207,0.0030
1.4075,85947,0.0201,0.0113,0.0199,0.0033
1.5014,86650,0.0214,0.0209,0.0156,0.0034
1.5968,85958,0.0207,0.0115,0.0216,0.0037
1.6938,86355,0.0198,0.0246,0.0172,0.0034
1.7918,86796,0.0200,0.0128,0.0182,0.0049
1.8827,86730,0.0203,0.0136,0.0225,0.0045
1.9809,86809,0.0233,0.0132,0.0251,0.0029
2.0798,87026,0.0173,0.0138,0.0226,0.0041
2.1715,86349,0.0200,0.0118,0.0224,0.0036
2.2666,85944,0.0211,0.0116,0.0238,0.0047
2.3730,86589,0.0218,0.0151,0.0173,0.0032
2.4689,86208,0.0215,0.0134,0.0215,0.0039
2.5665,86078,0.0221,0.0140,0.0226,0.0034
2.6620,86289,0.0208,0.0132,0.0225,0.0047
2.7596,86342,0.0206,0.0124,0.0221,0.0054
2.8583,85617,0.0240,0.0139,0.0199,0.0033
2.9572,87061,0.0221,0.0133,0.0219,0.0038
3.0587,86480,0.0259,0.0160,0.0183,0.0044
3.1636,86344,0.0211,0.0131,0.0197,0.0054
3.2569,87653,0.0209,0.0126,0.0215,0.0041
3.3515,86768,0.0205,0.0115,0.0231,0.0042
3.4438,86758,0.0224,0.0119,0.0218,0.0042
3.5399,86495,0.0200,0.0112,0.0229,0.0052
3.6338,86929,0.0323,0.0123,0.0155,0.0035
3.7344,86541,0.0181,0.0133,0.0207,0.0070
3.8281,87251,0.0191,0.0247,0.0178,0.0036
3.9267,85253,0.0160,0.0109,0.0190,0.0031
4.0099,87252,0.0192,0.0129,0.0289,0.0032
4.1068,87590,0.0211,0.0122,0.0207,0.0035
4.1975,86675,0.0191,0.0195,0.0218,0.0042
4.2942,87114,0.0190,0.0143,0.0208,0.0036
4.3843,86869,0.0213,0.0198,0.0193,0.0038
4.4831,87586,0.0188,0.0110,0.0222,0.0036
4.5716,86491,0.0219,0.0193,0.0193,0.0035
4.6699,86660,0.0189,0.0128,0.0260,0.0037
