timestamp,point,data processing,initial segmentation,split,merge
0.0000,129287,0.0155,0.0086,0.0254,0.0024
0.0867,129287,0.0252,0.0167,0.0378,0.0024
0.2029,129287,0.0229,0.0166,0.0245,0.0024
0.3111,129287,0.0236,0.0170,0.0255,0.0103
0.4208,129287,0.0201,0.0171,0.0230,0.0024
0.5243,129385,0.0200,0.0164,0.0264,0.0025
0.6226,129366,0.0199,0.0162,0.0270,0.0029
0.7297,129499,0.0201,0.0165,0.0270,0.0025
0.8294,129396,0.0199,0.0161,0.0298,0.0101
0.9532,130058,0.0222,0.0133,0.0272,0.0025
1.0514,130019,0.0201,0.0170,0.0255,0.0032
1.1586,130656,0.0217,0.0175,0.0216,0.0026
1.2552,130329,0.0203,0.0162,0.0275,0.0023
1.3623,130070,0.0202,0.0167,0.0338,0.0024
1.4686,129914,0.0200,0.0168,0.0390,0.0028
1.5799,129147,0.0201,0.0163,0.0262,0.0024
1.6874,129680,0.0213,0.0175,0.0220,0.0026
1.7853,129927,0.0215,0.0161,0.0286,0.0108
1.8962,129038,0.0202,0.0172,0.0225,0.0042
2.0032,129734,0.0201,0.0170,0.0291,0.0023
2.1060,129542,0.0213,0.0168,0.0281,0.0100
2.2167,129945,0.0215,0.0159,0.0230,0.0024
2.3225,130713,0.0202,0.0184,0.0209,0.0026
2.4189,129940,0.0236,0.0164,0.0390,0.0024
2.5349,130422,0.0214,0.0189,0.0198,0.0028
2.6406,130770,0.0211,0.0174,0.0221,0.0023
2.7354,130260,0.0201,0.0161,0.0294,0.0026
2.8439,129188,0.0220,0.0173,0.0245,0.0032
2.9668,128918,0.0200,0.0138,0.0194,0.0029
3.0583,129899,0.0218,0.0168,0.0265,0.0127
3.1745,130451,0.0235,0.0165,0.0190,0.0029
3.2759,130098,0.0202,0.0161,0.0280,0.0024
3.3829,130684,0.0200,0.0158,0.0243,0.0026
3.4776,130406,0.0198,0.0164,0.0306,0.0096
3.5870,130717,0.0198,0.0159,0.0293,0.0027
3.6941,131020,0.0198,0.0172,0.0239,0.0025
3.7938,129474,0.0203,0.0176,0.0281,0.0028
3.8967,129743,0.0202,0.0178,0.0271,0.0028
4.0007,130129,0.0213,0.0192,0.0240,0.0039
4.1051,129906,0.0214,0.0171,0.0261,0.0027
4.2049,129553,0.0200,0.0163,0.0295,0.0028
4.3061,129835,0.0175,0.0161,0.0331,0.0025
4.4073,130964,0.0203,0.0165,0.0277,0.0025
4.5069,130430,0.0199,0.0161,0.0289,0.0032
4.6154,129745,0.0202,0.0161,0.0227,0.0025
4.7093,130940,0.0201,0.0162,0.0290,0.0033
4.8106,129656,0.0200,0.0164,0.0294,0.0027
4.9120,129519,0.0199,0.0162,0.0297,0.0027
5.0128,130915,0.0178,0.0155,0.0274,0.0028
5.1056,129928,0.0198,0.0169,0.0310,0.0025
