timestamp,point,data processing,initial segmentation,split,merge
0.0000,110901,0.0142,0.0080,0.0183,0.0029
0.0785,110792,0.0240,0.0154,0.0242,0.0022
0.1765,110345,0.0266,0.0136,0.0230,0.0033
0.2787,110240,0.0318,0.0141,0.0193,0.0025
0.3799,110367,0.0217,0.0135,0.0243,0.0025
0.4769,109890,0.0322,0.0142,0.0181,0.0027
0.5798,110680,0.0241,0.0150,0.0226,0.0045
0.6819,110659,0.0321,0.0142,0.0176,0.0025
0.7847,111003,0.0307,0.0162,0.0197,0.0028
0.8896,110285,0.0311,0.0177,0.0200,0.0028
0.9952,110405,0.0316,0.0135,0.0196,0.0103
1.1245,111182,0.0265,0.0069,0.0166,0.0026
1.2110,109457,0.0328,0.0151,0.0212,0.0029
1.3193,108396,0.0322,0.0153,0.0163,0.0025
1.4199,110595,0.0304,0.0139,0.0206,0.0027
1.5230,111012,0.0314,0.0134,0.0197,0.0024
1.6233,111780,0.0312,0.0143,0.0207,0.0026
1.7265,111098,0.0307,0.0137,0.0240,0.0023
1.8327,110979,0.0322,0.0140,0.0158,0.0030
1.9316,111183,0.0280,0.0126,0.0133,0.0024
2.0031,112113,0.0083,0.0068,0.0155,0.0024
2.0756,110184,0.0242,0.0149,0.0218,0.0027
2.1739,110989,0.0234,0.0139,0.0252,0.0023
2.2839,110169,0.0253,0.0133,0.0166,0.0025
2.3835,110377,0.0270,0.0155,0.0175,0.0055
2.4817,111688,0.0255,0.0155,0.0223,0.0020
2.5779,111140,0.0265,0.0109,0.0246,0.0028
2.6828,111389,0.0281,0.0176,0.0213,0.0029
2.7893,111998,0.0239,0.0143,0.0194,0.0024
2.8908,111414,0.0238,0.0155,0.0191,0.0024
2.9877,111282,0.0237,0.0140,0.0220,0.0024
3.0912,110693,0.0244,0.0128,0.0199,0.0023
3.1865,111464,0.0244,0.0146,0.0242,0.0024
3.2893,111607,0.0204,0.0157,0.0263,0.0020
3.3807,110281,0.0285,0.0129,0.0269,0.0031
3.4896,111562,0.0233,0.0147,0.0190,0.0038
3.5934,110916,0.0219,0.0179,0.0180,0.0026
3.6871,110555,0.0315,0.0139,0.0216,0.0033
3.7961,111209,0.0263,0.0137,0.0205,0.0025
3.9065,112216,0.0265,0.0156,0.0207,0.0025
4.0065,110985,0.0259,0.0137,0.0199,0.0023
4.1051,111188,0.0242,0.0138,0.0245,0.0023
4.2084,110253,0.0229,0.0175,0.0213,0.0064
4.3125,111167,0.0249,0.0139,0.0222,0.0027
4.4168,111497,0.0259,0.0158,0.0134,0.0032
4.5086,111751,0.0200,0.0135,0.0270,0.0028
4.6138,111419,0.0328,0.0124,0.0153,0.0027
4.7157,111590,0.0288,0.0136,0.0203,0.0020
4.8076,110847,0.0219,0.0147,0.0234,0.0022
4.9059,111365,0.0237,0.0111,0.0252,0.0026
