timestamp,point,data processing,initial segmentation,split,merge
0.0000,46480,0.0113,0.0068,0.0140,0.0042
0.0745,49628,0.0157,0.0123,0.0167,0.0056
0.1668,49867,0.0162,0.0101,0.0181,0.0045
0.2477,51463,0.0186,0.0110,0.0154,0.0054
0.3356,50359,0.0153,0.0107,0.0157,0.0037
0.4156,50828,0.0145,0.0109,0.0143,0.0040
0.4976,50754,0.0157,0.0115,0.0173,0.0046
0.5795,50431,0.0152,0.0141,0.0144,0.0059
0.6682,50948,0.0153,0.0114,0.0141,0.0047
0.7481,51402,0.0152,0.0113,0.0164,0.0042
0.8332,49301,0.0152,0.0094,0.0168,0.0042
0.9100,49673,0.0140,0.0127,0.0163,0.0046
0.9940,50277,0.0168,0.0106,0.0169,0.0022
1.0573,50719,0.0083,0.0052,0.0118,0.0044
1.1292,49980,0.0222,0.0183,0.0126,0.0041
1.2273,49119,0.0166,0.0114,0.0152,0.0042
1.3096,49924,0.0173,0.0109,0.0190,0.0055
1.3975,49356,0.0175,0.0115,0.0154,0.0042
1.4817,50800,0.0153,0.0134,0.0171,0.0069
1.5708,49713,0.0156,0.0128,0.0152,0.0083
1.6598,49733,0.0148,0.0122,0.0155,0.0044
1.7421,49472,0.0168,0.0111,0.0160,0.0056
1.8277,49896,0.0168,0.0110,0.0158,0.0051
1.9151,49935,0.0181,0.0127,0.0157,0.0061
2.0121,49095,0.0193,0.0123,0.0169,0.0033
2.0976,50142,0.0153,0.0117,0.0150,0.0047
2.1865,50517,0.0172,0.0124,0.0159,0.0030
2.2731,49986,0.0170,0.0127,0.0176,0.0049
2.3695,51091,0.0165,0.0163,0.0138,0.0027
2.4580,50802,0.0183,0.0127,0.0195,0.0041
2.5529,50982,0.0158,0.0128,0.0182,0.0047
2.6421,51949,0.0182,0.0161,0.0194,0.0038
2.7437,49898,0.0169,0.0156,0.0176,0.0082
2.8394,50528,0.0186,0.0123,0.0160,0.0079
2.9389,51926,0.0173,0.0158,0.0136,0.0048
3.0251,50245,0.0171,0.0132,0.0173,0.0055
3.1222,51243,0.0200,0.0131,0.0173,0.0039
3.2105,50586,0.0149,0.0133,0.0154,0.0056
3.2928,50462,0.0155,0.0133,0.0210,0.0068
3.3848,52554,0.0150,0.0159,0.0220,0.0044
3.4758,50649,0.0154,0.0127,0.0475,0.0078
3.5948,51639,0.0188,0.0125,0.0198,0.0059
3.6854,50525,0.0157,0.0104,0.0144,0.0050
3.7656,50609,0.0151,0.0133,0.0163,0.0074
3.8591,51159,0.0180,0.0132,0.0192,0.0061
3.9514,50234,0.0177,0.0120,0.0180,0.0057
4.0469,50285,0.0177,0.0144,0.0202,0.0073
4.1495,50959,0.0209,0.0163,0.0131,0.0050
4.2397,50987,0.0216,0.0175,0.0208,0.0063
4.3479,50823,0.0210,0.0197,0.0159,0.0034
