timestamp,point,data processing,initial segmentation,split,merge
0.0000,98424,0.0160,0.0081,0.0502,0.0037
0.1256,98132,0.0463,0.0078,0.0302,0.0062
0.2460,99427,0.0231,0.0167,0.0231,0.0038
0.3597,100050,0.0283,0.0183,0.0218,0.0028
0.4706,99816,0.0240,0.0081,0.0355,0.0035
0.5860,99382,0.0264,0.0078,0.0552,0.0025
0.7242,99906,0.0270,0.0089,0.0569,0.0073
0.9159,99715,0.0143,0.0082,0.0243,0.0048
1.0181,99941,0.0285,0.0136,0.0312,0.0049
1.1399,99925,0.0306,0.0149,0.0276,0.0062
1.2581,99657,0.0297,0.0162,0.0244,0.0041
1.3789,99641,0.0487,0.0079,0.0257,0.0045
1.5112,99603,0.0302,0.0093,0.0318,0.0030
1.6336,100098,0.0567,0.0165,0.0488,0.0029
1.7863,99327,0.0162,0.0082,0.0448,0.0024
1.8848,99832,0.0276,0.0157,0.0584,0.0053
2.0390,99976,0.0301,0.0146,0.0470,0.0044
2.2220,100087,0.0147,0.0096,0.0404,0.0093
2.3541,99691,0.0306,0.0078,0.0312,0.0033
2.4783,99638,0.0345,0.0109,0.0233,0.0059
2.6209,99414,0.0256,0.0061,0.0108,0.0038
2.7003,98967,0.0216,0.0101,0.0223,0.0029
2.7935,99700,0.0253,0.0109,0.0809,0.0049
2.9998,99142,0.0122,0.0060,0.0116,0.0068
3.1022,98973,0.0270,0.0056,0.0182,0.0029
3.2276,99018,0.0275,0.0069,0.0251,0.0064
3.3315,99111,0.0267,0.0108,0.0543,0.0040
3.4639,98804,0.0236,0.0115,0.0151,0.0035
3.5621,99111,0.0324,0.0176,0.0315,0.0060
3.6963,99273,0.0437,0.0083,0.0339,0.0029
3.8562,99094,0.0202,0.0063,0.0374,0.0025
3.9876,99411,0.0340,0.0113,0.0312,0.0047
4.1250,99124,0.0347,0.0081,0.0226,0.0082
4.2508,99068,0.0324,0.0101,0.0657,0.0122
4.4501,99273,0.0173,0.0078,0.0242,0.0028
4.5508,98786,0.0397,0.0119,0.0667,0.0046
4.7227,99518,0.0433,0.0080,0.0583,0.0046
4.9205,99615,0.0169,0.0087,0.0207,0.0087
5.0012,99068,0.0176,0.0096,0.0136,0.0027
5.1087,99484,0.0156,0.0081,0.0122,0.0045
5.1802,99417,0.0174,0.0086,0.0109,0.0027
5.2481,99262,0.0213,0.0096,0.0166,0.0046
5.3390,99413,0.0282,0.0200,0.0355,0.0075
5.4859,99683,0.0320,0.0060,0.0177,0.0028
5.5762,99184,0.0217,0.0109,0.0129,0.0031
5.6673,99794,0.0247,0.0109,0.0114,0.0039
5.8007,99087,0.0244,0.0078,0.0185,0.0030
5.8783,99296,0.0159,0.0077,0.0142,0.0026
5.9432,99390,0.0157,0.0074,0.0130,0.0029
6.0062,99203,0.0172,0.0086,0.0156,0.0034
