timestamp,point,data processing,initial segmentation,split,merge 
26.0288,11710,0.0010,0.1746,0.0307,0.0014
26.2436,11710,0.0014,0.2041,0.0240,0.0023
26.4810,11710,0.0009,0.1790,0.0231,0.0015
26.6910,11710,0.0011,0.1575,0.0242,0.0017
26.8805,11570,0.0012,0.1654,0.0222,0.0020
27.0761,11570,0.0012,0.1587,0.0223,0.0019
27.2647,11610,0.0011,0.1670,0.0220,0.0017
27.4608,11610,0.0009,0.1530,0.0226,0.0014
27.6425,11610,0.0011,0.1972,0.0227,0.0016
27.8699,11541,0.0013,0.1897,0.0237,0.0018
28.0907,11541,0.0010,0.1854,0.0245,0.0020
28.3091,11541,0.0012,0.2111,0.0221,0.0021
28.5530,11541,0.0012,0.1695,0.0223,0.0022
28.7540,11541,0.0010,0.1957,0.0230,0.0022
28.9801,11472,0.0009,0.2031,0.0310,0.0015
29.2248,11472,0.0013,0.1973,0.0219,0.0016
29.4516,11290,0.0011,0.1556,0.0210,0.0015
29.6355,11290,0.0010,0.1627,0.0258,0.0017
29.8316,11290,0.0013,0.1803,0.0251,0.0021
30.0446,11220,0.0011,0.1553,0.0219,0.0015
30.2294,11220,0.0008,0.1549,0.0215,0.0016
30.4128,10940,0.0011,0.1653,0.0245,0.0020
30.6108,10940,0.0010,0.1688,0.0213,0.0017
30.8079,10940,0.0009,0.1717,0.0248,0.0013
31.0110,10525,0.0010,0.1835,0.0237,0.0234
31.2471,10585,0.0012,0.1584,0.0214,0.0031
31.4371,9512,0.0010,0.1305,0.0193,0.0021
31.5945,9493,0.0008,0.1382,0.0210,0.0019
31.7620,9470,0.0008,0.1456,0.0215,0.0020
31.9378,9260,0.0009,0.1210,0.0173,0.0015
32.0826,9260,0.0009,0.1252,0.0180,0.0019
32.2327,8490,0.0009,0.1012,0.0175,0.0015
32.5060,8210,0.0007,0.1228,0.0169,0.0017
33.4900,8140,0.0007,0.1487,0.0172,0.0017
33.6620,8140,0.0006,0.1035,0.0169,0.0014
33.7889,8140,0.0008,0.1071,0.0161,0.0018
33.9188,8140,0.0006,0.1040,0.0173,0.0037
34.3108,8574,0.0009,0.1356,0.0154,0.0014
34.4708,8560,0.0009,0.1240,0.0155,0.0016
34.6184,8560,0.0010,0.1287,0.0169,0.0015
34.7703,8560,0.0010,0.1222,0.0177,0.0017
34.9176,8700,0.0011,0.1086,0.0168,0.0014
35.1752,8840,0.0015,0.1686,0.0176,0.0019
35.6992,8910,0.0008,0.1588,0.0184,0.0020
35.8864,8910,0.0011,0.1707,0.0199,0.0018
