point,data processing,initial segmentation,split,merge 
12760,0.0020,0.2571,0.0353,0.0045
12760,0.0015,0.2376,0.0395,0.0038
12576,0.0015,0.2833,0.0369,0.0028
12544,0.0019,0.2445,0.0205,0.0037
12559,0.0019,0.2355,0.0683,0.0039
12480,0.0015,0.2469,0.0185,0.0022
12480,0.0017,0.2650,0.0397,0.0027
11780,0.0017,0.2788,0.0228,0.0027
11780,0.0013,0.3052,0.0215,0.0027
11360,0.0015,0.2456,0.0394,0.0038
11360,0.0014,0.2313,0.0357,0.0026
11360,0.0017,0.2383,0.0350,0.0043
11290,0.0045,0.2772,0.0360,0.0032
11290,0.0014,0.2731,0.0342,0.0028
11220,0.0018,0.2795,0.0341,0.0027
11220,0.0015,0.2316,0.0386,0.0040
11220,0.0013,0.2188,0.0341,0.0028
11220,0.0019,0.2691,0.0393,0.0033
11220,0.0018,0.2406,0.0340,0.0028
11150,0.0014,0.2453,0.0363,0.0022
11150,0.0014,0.2289,0.0313,0.0024
11150,0.0021,0.2347,0.0318,0.0022
11010,0.0015,0.2170,0.0335,0.0026
11010,0.0013,0.2990,0.0367,0.0023
10851,0.0018,0.2345,0.0346,0.0028
10851,0.0014,0.2971,0.0333,0.0024
10450,0.0014,0.2448,0.0335,0.0029
10450,0.0017,0.2337,0.0319,0.0024
10450,0.0015,0.2946,0.0327,0.0021
10161,0.0017,0.2096,0.0341,0.0026
10221,0.0017,0.2224,0.0392,0.0026
8910,0.0012,0.1711,0.0287,0.0027
8910,0.0014,0.2602,0.0270,0.0021
8263,0.0013,0.1736,0.0231,0.0029
8236,0.0009,0.1761,0.0253,0.0026
8260,0.0013,0.1665,0.0214,0.0028
8574,0.0010,0.1484,0.0572,0.0022
8467,0.0013,0.1758,0.0244,0.0026
9190,0.0014,0.1834,0.0268,0.0035
9197,0.0014,0.1692,0.0274,0.0033
9213,0.0013,0.1565,0.0257,0.0025
9402,0.0012,0.1799,0.0314,0.0074
9402,0.0014,0.1830,0.0276,0.0026
8920,0.0010,0.1777,0.0243,0.0024
8911,0.0012,0.1912,0.0252,0.0025
8910,0.0012,0.1638,0.0215,0.0028
8409,0.0012,0.1533,0.0242,0.0035
8379,0.0010,0.1276,0.0227,0.0026
8070,0.0011,0.1653,0.0288,0.0055
8057,0.0012,0.1315,0.0238,0.0024
8027,0.0009,0.1268,0.0255,0.0031
