point,data processing,initial segmentation,split,merge 
142059,0.0088,0.3945,0.0578,0.0099
142059,0.0163,0.4565,0.0402,0.0104
142058,0.0095,0.3763,0.0489,0.0096
142057,0.0250,0.4095,0.0328,0.0037
142052,0.0152,0.3618,0.0392,0.0085
142050,0.0187,0.3465,0.0405,0.0058
142050,0.0227,0.3486,0.0463,0.0150
142050,0.0144,0.3304,0.0404,0.0077
142049,0.0101,0.2982,0.0486,0.0077
142050,0.0220,0.3608,0.0522,0.0063
142050,0.0266,0.2932,0.0303,0.0039
142048,0.0142,0.3461,0.0311,0.0057
142046,0.0475,0.3019,0.0307,0.0036
142046,0.0181,0.3770,0.0347,0.0052
142046,0.0095,0.3338,0.0379,0.0079
142044,0.0219,0.3855,0.0378,0.0031
142042,0.0104,0.4065,0.0318,0.0044
142044,0.0208,0.3246,0.0434,0.0036
142050,0.0159,0.3185,0.0349,0.0064
142050,0.0206,0.3671,0.0387,0.0036
142055,0.0171,0.3552,0.0715,0.0045
142055,0.0152,0.3426,0.0335,0.0056
142063,0.0132,0.3301,0.0367,0.0051
142064,0.0133,0.3268,0.0377,0.0040
142065,0.0227,0.3232,0.0432,0.0054
142064,0.0278,0.3278,0.0367,0.0036
142066,0.0281,0.3332,0.0416,0.0036
142064,0.0202,0.3225,0.0385,0.0031
142064,0.0397,0.3087,0.0353,0.0038
142067,0.0260,0.3515,0.0454,0.0039
142068,0.0143,0.3019,0.0431,0.0063
142072,0.0081,0.3547,0.0390,0.0046
142074,0.0171,0.3193,0.0394,0.0133
142075,0.0095,0.3325,0.0338,0.0073
142078,0.0138,0.3378,0.0479,0.0055
142078,0.0123,0.3319,0.0420,0.0053
142079,0.0167,0.3279,0.0337,0.0035
142080,0.0164,0.3280,0.0412,0.0040
142080,0.0146,0.3382,0.0439,0.0048
142085,0.0157,0.3242,0.0337,0.0035
142085,0.0133,0.3758,0.0325,0.0053
142088,0.0202,0.3298,0.0423,0.0042
142087,0.0176,0.3250,0.0441,0.0055
142088,0.0145,0.3565,0.0335,0.0039
142088,0.0112,0.3206,0.0324,0.0042
142092,0.0280,0.3417,0.0313,0.0049
142093,0.0222,0.2890,0.0464,0.0129
142091,0.0091,0.3233,0.0430,0.0037
142091,0.0303,0.2809,0.0406,0.0041
142091,0.0141,0.3666,0.0349,0.0045
