point,data processing,initial segmentation,split,merge 
146003,0.0084,0.2739,0.0399,0.0024
146003,0.0150,0.2953,0.0432,0.0033
145996,0.0163,0.2419,0.0277,0.0016
145987,0.0070,0.2222,0.0292,0.0035
145977,0.0154,0.2320,0.0284,0.0021
145970,0.0201,0.2792,0.0286,0.0021
145968,0.0171,0.2300,0.0424,0.0023
145968,0.0237,0.2449,0.0304,0.0018
145969,0.0168,0.2540,0.0644,0.0029
145969,0.0174,0.2541,0.0356,0.0023
145970,0.0103,0.2748,0.0313,0.0023
145970,0.0244,0.3159,0.0318,0.0031
145970,0.0266,0.2382,0.0308,0.0025
145970,0.0145,0.2727,0.0285,0.0026
145970,0.0182,0.2610,0.0495,0.0035
145971,0.0159,0.3008,0.0309,0.0027
145971,0.0201,0.2783,0.0317,0.0019
145971,0.0093,0.2577,0.0337,0.0042
145972,0.0236,0.2393,0.0405,0.0033
145972,0.0272,0.2511,0.0328,0.0048
145973,0.0222,0.2618,0.0358,0.0031
145973,0.0112,0.3536,0.0359,0.0357
145973,0.0105,0.2473,0.0413,0.0035
145973,0.0275,0.2307,0.0299,0.0041
145973,0.0304,0.2954,0.0302,0.0029
145973,0.0245,0.2387,0.0311,0.0031
145973,0.0267,0.2820,0.0544,0.0036
145974,0.0207,0.2600,0.0356,0.0031
145979,0.0156,0.2626,0.0348,0.0027
145988,0.0133,0.2543,0.0299,0.0028
145996,0.0137,0.2917,0.0278,0.0030
146003,0.0192,0.2544,0.0442,0.0033
146014,0.0259,0.2899,0.0464,0.0026
146022,0.0145,0.2464,0.0329,0.0020
146031,0.0097,0.2537,0.0295,0.0022
146033,0.0173,0.2763,0.0375,0.0021
146050,0.0122,0.3236,0.0336,0.0025
146058,0.0153,0.2259,0.0437,0.0027
146067,0.0218,0.2593,0.0332,0.0035
146069,0.0196,0.2569,0.0480,0.0033
146069,0.0124,0.2409,0.0438,0.0025
146069,0.0260,0.2436,0.0276,0.0022
146070,0.0090,0.3174,0.0368,0.0061
146070,0.0108,0.2778,0.0310,0.0015
146070,0.0076,0.3123,0.0293,0.0015
146070,0.0112,0.2749,0.0304,0.0027
146070,0.0184,0.2658,0.0328,0.0025
146070,0.0344,0.2585,0.0319,0.0025
146071,0.0095,0.2726,0.0568,0.0052
146071,0.0087,0.2373,0.0305,0.0019
