point,data processing,initial segmentation,split,merge 
41493,0.0031,0.2486,0.0461,0.0035
41493,0.0066,0.2676,0.0288,0.0041
41493,0.0040,0.2758,0.0306,0.0028
41493,0.0050,0.2468,0.0451,0.0023
41493,0.0138,0.2468,0.0302,0.0025
41493,0.0022,0.2437,0.0433,0.0042
41493,0.0033,0.2557,0.0317,0.0034
41493,0.0066,0.2799,0.0487,0.0030
41493,0.0042,0.2801,0.0284,0.0031
41493,0.0074,0.2621,0.0386,0.0079
41493,0.0043,0.2854,0.0286,0.0026
41493,0.0021,0.2939,0.0349,0.0029
41493,0.0039,0.2899,0.0288,0.0031
41493,0.0160,0.2714,0.0385,0.0027
41493,0.0080,0.2832,0.0358,0.0027
41493,0.0041,0.2593,0.0377,0.0021
41491,0.0020,0.2607,0.0305,0.0037
41491,0.0053,0.2685,0.0290,0.0030
41491,0.0043,0.2612,0.0522,0.0040
41491,0.0078,0.2744,0.0313,0.0032
41491,0.0040,0.2908,0.0285,0.0033
41491,0.0039,0.2860,0.0292,0.0024
41490,0.0044,0.2632,0.0377,0.0118
41490,0.0155,0.2424,0.0290,0.0029
41490,0.0040,0.2778,0.0308,0.0030
41490,0.0046,0.2748,0.0284,0.0031
41490,0.0168,0.2544,0.0341,0.0058
41489,0.0198,0.2229,0.0283,0.0025
41489,0.0059,0.2672,0.0468,0.0042
41489,0.0047,0.2723,0.0291,0.0034
41489,0.0311,0.2617,0.0294,0.0111
41489,0.0155,0.2556,0.0296,0.0032
41489,0.0043,0.2394,0.0296,0.0028
41489,0.0041,0.2519,0.0310,0.0032
41489,0.0038,0.2851,0.0312,0.0029
41489,0.0030,0.3778,0.0587,0.0071
41489,0.0036,0.3404,0.0540,0.0032
41489,0.0031,0.3102,0.0304,0.0025
41489,0.0026,0.2681,0.0308,0.0033
41489,0.0128,0.2804,0.0352,0.0033
41489,0.0034,0.2865,0.0497,0.0041
41489,0.0046,0.2617,0.0309,0.0023
41489,0.0056,0.2919,0.0344,0.0037
41501,0.0049,0.2812,0.0288,0.0023
41520,0.0030,0.2811,0.0380,0.0043
41542,0.0041,0.2540,0.0309,0.0029
41544,0.0038,0.2991,0.0292,0.0025
41544,0.0044,0.2868,0.0366,0.0031
41569,0.0051,0.2756,0.0418,0.0025
41592,0.0028,0.2944,0.0306,0.0029
