point,data processing,initial segmentation,split,merge 
35304,0.0021,0.2304,0.0227,0.0020
35304,0.0022,0.2340,0.0248,0.0021
35304,0.0028,0.2165,0.0225,0.0023
35304,0.0018,0.2188,0.0224,0.0021
35304,0.0018,0.2130,0.0223,0.0022
35304,0.0019,0.2137,0.0245,0.0025
35304,0.0026,0.2472,0.0222,0.0023
35304,0.0019,0.2120,0.0223,0.0026
35304,0.0025,0.2011,0.0214,0.0024
35303,0.0018,0.2237,0.0214,0.0025
35303,0.0018,0.2334,0.0223,0.0023
35303,0.0018,0.1762,0.0223,0.0022
35303,0.0018,0.2222,0.0219,0.0029
35302,0.0018,0.1889,0.0244,0.0026
35302,0.0020,0.2229,0.0327,0.0043
35301,0.0035,0.2143,0.0328,0.0042
35301,0.0035,0.2303,0.0245,0.0067
35301,0.0038,0.2257,0.0236,0.0044
35301,0.0036,0.2556,0.0245,0.0030
35301,0.0018,0.2761,0.0370,0.0036
35301,0.0027,0.2420,0.0323,0.0046
35300,0.0084,0.2594,0.0235,0.0030
35300,0.0023,0.2119,0.0233,0.0026
35300,0.0019,0.2161,0.0237,0.0022
35300,0.0020,0.1958,0.0221,0.0021
35300,0.0018,0.2193,0.0236,0.0023
35300,0.0029,0.1788,0.0245,0.0034
35300,0.0041,0.2643,0.0231,0.0036
35300,0.0035,0.2480,0.0577,0.0055
35300,0.0051,0.2505,0.0297,0.0035
35299,0.0055,0.2592,0.0225,0.0027
35297,0.0032,0.2488,0.0222,0.0031
35297,0.0077,0.2916,0.0245,0.0033
35297,0.0097,0.2750,0.0216,0.0023
35297,0.0039,0.2767,0.0226,0.0027
35297,0.0029,0.2458,0.0348,0.0037
35297,0.0031,0.2372,0.0226,0.0028
35297,0.0038,0.2684,0.0243,0.0028
35297,0.0029,0.2283,0.0226,0.0026
35297,0.0082,0.2459,0.0222,0.0028
35297,0.0035,0.2870,0.0234,0.0024
35297,0.0025,0.2211,0.0238,0.0045
35297,0.0045,0.2524,0.0234,0.0033
35297,0.0021,0.2222,0.0319,0.0041
35297,0.0221,0.2407,0.0231,0.0050
35297,0.0059,0.2472,0.0391,0.0038
35296,0.0072,0.2355,0.0234,0.0069
35294,0.0047,0.2621,0.0247,0.0037
35293,0.0037,0.2825,0.0235,0.0030
35294,0.0020,0.2208,0.0219,0.0024
