point,data processing,initial segmentation,split,merge 
169684,0.0113,0.3813,0.0426,0.0042
169681,0.0099,0.4195,0.0563,0.0048
169673,0.0242,0.3700,0.0487,0.0097
169663,0.0097,0.3222,0.0403,0.0030
169654,0.0279,0.3601,0.0737,0.0075
169642,0.0170,0.3409,0.0466,0.0033
169641,0.0328,0.4617,0.0462,0.0038
169620,0.0157,0.3537,0.0554,0.0077
169616,0.0190,0.3527,0.0414,0.0055
169607,0.0194,0.4050,0.0393,0.0030
169586,0.0143,0.4065,0.0417,0.0033
169580,0.0356,0.4336,0.0482,0.0027
169580,0.0245,0.4316,0.0407,0.0035
169579,0.0173,0.3462,0.0407,0.0223
169576,0.0125,0.3939,0.0398,0.0047
169574,0.0233,0.3891,0.0750,0.0053
169576,0.0221,0.3703,0.0430,0.0045
169575,0.0244,0.4186,0.0429,0.0034
169575,0.0190,0.4418,0.0838,0.0052
169575,0.0098,0.3111,0.0482,0.0058
169576,0.0287,0.3244,0.0522,0.0050
169576,0.0225,0.4214,0.0410,0.0037
169576,0.0426,0.3959,0.0506,0.0377
169573,0.0107,0.3863,0.0586,0.0055
169572,0.0260,0.3868,0.0394,0.0028
169572,0.0175,0.3873,0.0438,0.0072
169572,0.0233,0.4051,0.0528,0.0042
169572,0.0211,0.3130,0.0410,0.0038
169574,0.0167,0.3743,0.0452,0.0042
169574,0.0170,0.3703,0.0532,0.0031
169574,0.0229,0.3601,0.0498,0.0032
169574,0.0190,0.4055,0.0425,0.0034
169572,0.0495,0.4230,0.0487,0.0033
169571,0.0265,0.3653,0.0579,0.0051
169572,0.0098,0.3816,0.0676,0.0033
169569,0.0428,0.4046,0.0624,0.0069
169569,0.0153,0.3862,0.0390,0.0026
169569,0.0338,0.3574,0.0410,0.0065
169568,0.0096,0.4266,0.0406,0.0039
169570,0.0253,0.3826,0.0432,0.0036
169570,0.0139,0.4065,0.0398,0.0049
169570,0.0207,0.3747,0.0433,0.0037
169568,0.0336,0.4005,0.0503,0.0029
169568,0.0326,0.3794,0.0538,0.0056
169566,0.0112,0.3956,0.0455,0.0042
169566,0.0350,0.3988,0.0492,0.0036
169566,0.0266,0.3205,0.0622,0.0127
169567,0.0090,0.3973,0.0411,0.0046
169567,0.0172,0.3929,0.0435,0.0038
169567,0.0421,0.3906,0.0393,0.0044
